CRITICAL:root:classifier = models/smalluav_gnb_clf_1-5sec.pkl
CRITICAL:root:threat_value = uav
CRITICAL:root:recording_time = 1.5
CRITICAL:root:number_of_saved_noises = 50
CRITICAL:root:[2021-02-23 20:50:38.551736] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:50:38.680061] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:50:40.451187] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:50:50.827817] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:50:50.957316] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:50:53.014490] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:51:26.303469] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:51:26.332898] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:51:28.258055] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:51:34.286509] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:51:34.348219] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:52:37.098256] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:52:37.969638] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:52:38.057266] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:52:39.237694] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:52:40.201999] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:52:40.269506] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:52:45.437192] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:52:46.232855] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:52:46.283596] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:53:37.381402] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:53:38.578933] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:53:38.831075] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:53:49.666839] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:53:49.876864] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:54:07.112998] Tower wt1 spotted a threat. Coordinates [40.41271; -86.9508]
CRITICAL:root:[2021-02-23 20:54:08.569198] Towers wt1 and wt2 spotted a threat. Coordinates [40.41276203942638; -86.95064561636839]
CRITICAL:root:[2021-02-23 20:54:08.569198] Tower wt1 dev = 0.0006990239999999995 ; Tower wt2 dev = 0.00014670399999999924 
CRITICAL:root:[2021-02-23 20:54:09.298591] Towers wt1 and wt2 spotted a threat. Coordinates [40.41276203942638; -86.95064561636839]
CRITICAL:root:[2021-02-23 20:54:09.298591] Tower wt1 dev = 0.0006990239999999995 ; Tower wt2 dev = 0.00014670399999999924 
CRITICAL:root:[2021-02-23 20:54:09.386536] Towers wt1 and wt2 spotted a threat. Coordinates [40.41275013642913; -86.95068092859358]
CRITICAL:root:[2021-02-23 20:54:09.386536] Tower wt1 dev = 0.000949835999999999 ; Tower wt2 dev = 0.00014670399999999924 
CRITICAL:root:[2021-02-23 20:54:10.902394] Towers wt1 and wt2 spotted a threat. Coordinates [40.41272945184224; -86.95074229286803]
CRITICAL:root:[2021-02-23 20:54:10.902394] Tower wt1 dev = 0.000949835999999999 ; Tower wt2 dev = 6.585699999999903e-05 
CRITICAL:root:[2021-02-23 20:54:11.867161] Towers wt1 and wt2 spotted a threat. Coordinates [40.41272945184224; -86.95074229286803]
CRITICAL:root:[2021-02-23 20:54:11.867161] Tower wt1 dev = 0.000949835999999999 ; Tower wt2 dev = 6.585699999999903e-05 
CRITICAL:root:[2021-02-23 20:54:11.897141] Towers wt1 and wt2 spotted a threat. Coordinates [40.412729039703024; -86.95074351554769]
CRITICAL:root:[2021-02-23 20:54:11.897141] Tower wt1 dev = 0.0009718219999999989 ; Tower wt2 dev = 6.585699999999903e-05 
CRITICAL:root:[2021-02-23 20:54:13.096302] Towers wt1 and wt2 spotted a threat. Coordinates [40.41283912719344; -86.95041692265944]
CRITICAL:root:[2021-02-23 20:54:13.096302] Tower wt1 dev = 0.0009718219999999989 ; Tower wt2 dev = 0.0007343980000000007 
CRITICAL:root:[2021-02-23 20:54:14.192019] Towers wt1 and wt2 spotted a threat. Coordinates [40.41283912719344; -86.95041692265944]
CRITICAL:root:[2021-02-23 20:54:14.192019] Tower wt1 dev = 0.0009718219999999989 ; Tower wt2 dev = 0.0007343980000000007 
CRITICAL:root:[2021-02-23 20:54:14.199793] Towers wt2 and wt1 spotted a threat. Coordinates [40.41286830494262; -86.95033036200356]
CRITICAL:root:[2021-02-23 20:54:14.199793] Tower wt2 dev = 0.0007343980000000007 ; Tower wt1 dev = 0.0006573424999999997 
CRITICAL:root:[2021-02-23 20:54:15.153019] Towers wt2 and wt1 spotted a threat. Coordinates [40.41292503230731; -86.95016207082165]
CRITICAL:root:[2021-02-23 20:54:15.153019] Tower wt2 dev = 0.0016635719999999986 ; Tower wt1 dev = 0.0006573424999999997 
CRITICAL:root:[2021-02-23 20:54:16.427486] Towers wt2 and wt1 spotted a threat. Coordinates [40.41294235830563; -86.95011067035996]
CRITICAL:root:[2021-02-23 20:54:16.427486] Tower wt2 dev = 0.0016635719999999986 ; Tower wt1 dev = 0.00048428149999999934 
CRITICAL:root:[2021-02-23 20:54:16.429507] Towers wt2 and wt1 spotted a threat. Coordinates [40.41294235830563; -86.95011067035996]
CRITICAL:root:[2021-02-23 20:54:16.429507] Tower wt2 dev = 0.0016635719999999986 ; Tower wt1 dev = 0.00048428149999999934 
CRITICAL:root:[2021-02-23 20:54:17.443224] Towers wt2 and wt1 spotted a threat. Coordinates [40.412988765359216; -86.949972996101]
CRITICAL:root:[2021-02-23 20:54:17.443224] Tower wt2 dev = 0.006357578999999999 ; Tower wt1 dev = 0.00048428149999999934 
CRITICAL:root:[2021-02-23 20:54:18.792403] Towers wt2 and wt1 spotted a threat. Coordinates [40.41300163130616; -86.94993482712508]
CRITICAL:root:[2021-02-23 20:54:18.792403] Tower wt2 dev = 0.006357578999999999 ; Tower wt1 dev = 0.00018243800000000004 
CRITICAL:root:[2021-02-23 20:54:18.908609] Towers wt2 and wt1 spotted a threat. Coordinates [40.41300163130616; -86.94993482712508]
CRITICAL:root:[2021-02-23 20:54:18.908609] Tower wt2 dev = 0.006357578999999999 ; Tower wt1 dev = 0.00018243800000000004 
CRITICAL:root:[2021-02-23 20:54:19.448812] Towers wt2 and wt1 spotted a threat. Coordinates [40.41296897221006; -86.95003171577682]
CRITICAL:root:[2021-02-23 20:54:19.448812] Tower wt2 dev = 0.0011515699999999993 ; Tower wt1 dev = 0.00018243800000000004 
CRITICAL:root:[2021-02-23 20:54:20.878618] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:54:20.957369] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:54:21.412674] Tower wt2 spotted a threat. Coordinates [40.41301; -86.94991]
CRITICAL:root:[2021-02-23 20:54:22.771757] Towers wt1 and wt2 spotted a threat. Coordinates [40.412847931802006; -86.95039080232071]
CRITICAL:root:[2021-02-23 20:54:22.771757] Tower wt1 dev = 0.0006091994999999992 ; Tower wt2 dev = 0.0005184729999999985 
CRITICAL:root:[2021-02-23 20:54:22.943643] Towers wt1 and wt2 spotted a threat. Coordinates [40.412847931802006; -86.95039080232071]
CRITICAL:root:[2021-02-23 20:54:22.943643] Tower wt1 dev = 0.0006091994999999992 ; Tower wt2 dev = 0.0005184729999999985 
CRITICAL:root:[2021-02-23 20:54:23.525336] Towers wt1 and wt2 spotted a threat. Coordinates [40.41276148424917; -86.95064726339415]
CRITICAL:root:[2021-02-23 20:54:23.525336] Tower wt1 dev = 0.0006091994999999992 ; Tower wt2 dev = 0.00012620600000000023 
CRITICAL:root:[2021-02-23 20:54:25.016513] Towers wt1 and wt2 spotted a threat. Coordinates [40.41275862058803; -86.95065575892218]
CRITICAL:root:[2021-02-23 20:54:25.016513] Tower wt1 dev = 0.0006525135000000001 ; Tower wt2 dev = 0.00012620600000000023 
CRITICAL:root:[2021-02-23 20:54:25.284500] Towers wt1 and wt3 spotted a threat. Coordinates [40.41270162008193; -86.95005837725128]
CRITICAL:root:[2021-02-23 20:54:25.284500] Tower wt1 dev = 0.0006525135000000001 ; Tower wt3 dev = 0.00047056550000000065 
CRITICAL:root:[2021-02-23 20:54:25.683533] Towers wt1 and wt3 spotted a threat. Coordinates [40.41270162008193; -86.95005837725128]
CRITICAL:root:[2021-02-23 20:54:25.683533] Tower wt1 dev = 0.0006525135000000001 ; Tower wt3 dev = 0.00047056550000000065 
CRITICAL:root:[2021-02-23 20:54:26.976507] Towers wt1 and wt3 spotted a threat. Coordinates [40.41270598042255; -86.95044426739624]
CRITICAL:root:[2021-02-23 20:54:26.976507] Tower wt1 dev = 0.0018708024999999993 ; Tower wt3 dev = 0.00047056550000000065 
CRITICAL:root:[2021-02-23 20:54:27.199678] Towers wt1 and wt2 spotted a threat. Coordinates [40.41272228257111; -86.9507635617057]
CRITICAL:root:[2021-02-23 20:54:27.199678] Tower wt1 dev = 0.0018708024999999993 ; Tower wt2 dev = 7.986400000000067e-05 
CRITICAL:root:[2021-02-23 20:54:28.266972] Towers wt1 and wt2 spotted a threat. Coordinates [40.41275501881213; -86.95066644419069]
CRITICAL:root:[2021-02-23 20:54:28.266972] Tower wt1 dev = 0.0018708024999999993 ; Tower wt2 dev = 0.000330304 
CRITICAL:root:[2021-02-23 20:54:29.281364] Towers wt1 and wt2 spotted a threat. Coordinates [40.41273338131096; -86.95073063544415]
CRITICAL:root:[2021-02-23 20:54:29.281364] Tower wt1 dev = 0.003907747499999999 ; Tower wt2 dev = 0.000330304 
CRITICAL:root:[2021-02-23 20:54:29.377936] Towers wt1 and wt2 spotted a threat. Coordinates [40.41273338131096; -86.95073063544415]
CRITICAL:root:[2021-02-23 20:54:29.377936] Tower wt1 dev = 0.003907747499999999 ; Tower wt2 dev = 0.000330304 
