fname,label,class1
music1.wav,music1,music
music2.wav,music2,music
music3.wav,music3,music
music4.wav,music4,music
music5.wav,music5,music
music6.wav,music6,music
music7.wav,music7,music
music8.wav,music8,music
music9.wav,music9,music
music10.wav,music10,music
music11.wav,music11,music
music12.wav,music12,music
music13.wav,music13,music
music14.wav,music14,music
music15.wav,music15,music
music16.wav,music16,music
music17.wav,music17,music
music18.wav,music18,music
music19.wav,music19,music
music20.wav,music20,music
music21.wav,music21,music
music23.wav,music23,music
music24.wav,music24,music
music25.wav,music25,music
music26.wav,music26,music
music27.wav,music27,music
music28.wav,music28,music
music29.wav,music29,music
music30.wav,music30,music
music31.wav,music31,music
music32.wav,music32,music
music33.wav,music33,music
music34.wav,music34,music
music35.wav,music35,music
music36.wav,music36,music
music37.wav,music37,music
music38.wav,music38,music
music39.wav,music39,music
music40.wav,music40,music
music41.wav,music41,music
music42.wav,music42,music
background1.wav,background1,noise
background2.wav,background2,noise
background3.wav,background3,noise
background4.wav,background4,noise
background5.wav,background5,noise
background6.wav,background6,noise
background7.wav,background7,noise
background8.wav,background8,noise
background9.wav,background9,noise
background10.wav,background10,noise
background11.wav,background11,noise
background12.wav,background12,noise
background13.wav,background13,noise
background14.wav,background14,noise
background15.wav,background15,noise
background16.wav,background16,noise
background17.wav,background17,noise
background18.wav,background18,noise
background19.wav,background19,noise
background20.wav,background20,noise
background21.wav,background21,noise
background22.wav,background22,noise
background23.wav,background23,noise
background24.wav,background24,noise
background25.wav,background25,noise
background26.wav,background26,noise
background27.wav,background27,noise
background28.wav,background28,noise
background29.wav,background29,noise
background30.wav,background30,noise
background31.wav,background31,noise
background32.wav,background32,noise
background33.wav,background33,noise
background34.wav,background34,noise
background35.wav,background35,noise
background36.wav,background36,noise
background37.wav,background37,noise
background38.wav,background38,noise
background39.wav,background39,noise
background40.wav,background40,noise
background41.wav,background41,noise
background42.wav,background42,noise
background43.wav,background43,noise
background44.wav,background44,noise
background45.wav,background45,noise
background46.wav,background46,noise
background47.wav,background47,noise
background48.wav,background48,noise
background49.wav,background49,noise
background50.wav,background50,noise
background51.wav,background51,noise
