fname,label,class1
snap1.wav,snap1,snap
snap2.wav,snap2,snap
snap3.wav,snap3,snap
snap4.wav,snap4,snap
snap5.wav,snap5,snap
snap6.wav,snap6,snap
snap7.wav,snap7,snap
snap8.wav,snap8,snap
background1.wav,background1,noise
background2.wav,background2,noise
background3.wav,background3,noise
background4.wav,background4,noise
background5.wav,background5,noise
background6.wav,background6,noise
background7.wav,background7,noise
background8.wav,background8,noise
background9.wav,background9,noise
background10.wav,background10,noise
background11.wav,background11,noise
